SITE_ID,SITE_NAME,SOURCE,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source,Notes1,Keep,START,END,Duration,SPRING,SUMMER,FALL,Notes2,min_dist_m,CRU_Aridity_P_PET,CRU_P_Annual_Mean_Total_mm,CRU_PET_Annual_Mean_Total_mm
US-GLE,GLEES,FLUXNET2015,NA,41.36653,-106.2399,3197,ENF,0.8,1200,Dfc,AmeriFlux,NA,Y,2004,2014,11,c(2004),c(2004),c(2004),NA,12984.9983,0.368626205,394.67334,1070.66002
US-Ha1,Harvard Forest EMS Tower (HFR1),FLUXNET2015,NA,42.5378,-72.1715,340,DBF,6.62,1071,Dfb,AmeriFlux,NA,Y,1991,2012,22,c(1991),c(1991),c(1991),NA,24453.58714,1.247525717,1151.250021,922.826684
US-Ho1,Howland Forest (main tower),OneFlux,NA,45.2041,-68.7402,60,ENF,5.27,1070,Dfb,AmeriFlux,NA,Y,1996,2018,23,c(1996:2011),c(1996:2011),c(1996:2011),lots of NA data in GPP because R and GPP are not calculated for many years so using what is available,5161.237031,1.639192176,1139.02002,694.8666771
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),FLUXNET2015,NA,41.84062,-88.24103,226.5,GRA,9.04,930.25,Dfa,AmeriFlux,NA,Y,2004,2011,8,c(2004),c(2004),NA,NA,10103.90047,1.031017524,976.5866873,947.2066814
US-KFS,Kansas Field Station,OneFlux,NA,39.0561,-95.1907,310,GRA,12,1014,Cfa,AmeriFlux,NA,Y,2007,2019,13,c(2007),NA,NA,mostly good years some with NEE qc less than 0.5,22158.76361,0.866527176,1014.660016,1170.950021
US-Los,Lost Creek,FLUXNET2015,CC-BY-4.0,46.0827,-89.9792,480,WET,4.08,828,Dfb,AmeriFlux,NA,Y,2000,2014,15,"c(2000, 2007:2013)","c(2000, 2009, 2011:2013)",2007:2013,NA,25644.01648,1.197799238,813.8566813,679.4600092
US-Me2,Metolius mature ponderosa pine,OneFlux,NA,44.4523,-121.5574,1253,ENF,6.28,523,Csb,AmeriFlux,NA,Y,2002,2017,16,"c(2002, 2003, 2006)",c(2002),c(2002),2002 GPP missing in Oneflux and Couple years of low NEE QC in spring but otherwise looks good,27212.74495,1.060001389,865.1766835,816.2033485
US-Me3,Metolius-second young aged pine,FLUXNET2015,NA,44.3154,-121.6078,1005,ENF,7.07,719,Csb,AmeriFlux,NA,Y,2004,2009,6,NA,NA,c(2009),mostly good aside from fall 2009,13454.4677,1.060001389,865.1766835,816.2033485
US-MMS,Morgan Monroe State Forest,OneFlux,NA,39.3232,-86.4131,275,DBF,10.85,1032,Cfa,AmeriFlux,NA,Y,1999,2017,19,NA,NA,NA,all years look good,16226.15607,1.216156073,1169.480023,961.6200165
US-Mpj,Mountainair Pinyon-Juniper Woodland,OneFlux,NA,34.4385,-106.2377,2196,WSA,10.5,385,Bsk,AmeriFlux,NA,Y,2008,2021,14,NA,NA,NA,GPP is variable but looks good,20990.67452,0.226453808,347.2933401,1533.616693
US-NR1,Niwot Ridge Forest (LTER NWT1),FLUXNET2015,NA,40.0329,-105.5464,3050,ENF,1.5,800,Dfc,AmeriFlux,NA,Y,1998,2014,17,"c(1998, 1999)",c(1998),c(1998),NA,29703.26446,0.399631432,426.4866734,1067.200022
US-Oho,Oak Openings,FLUXNET2015,NA,41.5545,-83.8438,230,DBF,10.1,849,Dfa,AmeriFlux,NA,Y,2004,2013,10,NA,NA,NA,NA,23093.37022,0.981707537,907.1566823,924.0600164
US-PFa,Park Falls/WLEF,FLUXNET2015,CC-BY-4.0,45.9459,-90.2723,470,MF,4.33,823,Dfb,AmeriFlux,NA,Y,1995,2014,20,"c(1995, 1996)",c(1995),c(1995),NA,21851.49122,1.168062271,830.9166817,711.3633429
US-Prr,Poker Flat Research Range Black Spruce Forest,OneFlux,NA,65.12367,-147.48756,210,ENF,-2,275,Dwc,AmeriFlux,NA,Y,2010,2016,7,c(2010),c(2010),"c(2010, 2012)",2010 looks off and low NEE QC,17894.5385,0.464981126,217.6266698,468.0333405
US-Seg,Sevilleta grassland,OneFlux,NA,34.3623,-106.702,1622,GRA,13.667,273.304,Bsk,AmeriFlux,NA,Y,2007,2021,15,NA,NA,NA,all looks good with GPP,13242.67672,0.213261344,330.0766722,1547.756695
